filename,file_path,pdf_url,source_url,download_date,status,title,author,subject,keywords,creator,producer,creationDate,modDate
2017_WIM.pdf,files/www.pcahistory.org_pca_digest_index.html/2017_WIM.pdf,https://www.pcahistory.org/pca/digest/studies/2017_WIM.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:19:18.126401,downloaded,,https://www.pcahistory.org/pca/digest/studies/2017_WIM.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0,D:20170628153606-04'00',D:20170628153615-04'00'
46thGA_2018_Actions.pdf,files/www.pcahistory.org_pca_ga_index.html/46thGA_2018_Actions.pdf,https://www.pcahistory.org/pca/ga/actions/46thGA_2018_Actions.pdf,https://www.pcahistory.org/pca/ga/index.html,2025-07-12T14:19:18.491565,downloaded,,https://www.pcahistory.org/pca/ga/actions/46thGA_2018_Actions.pdf,Downloaded from https://www.pcahistory.org/pca/ga/index.html,web_scraper_download,PDFium,PDFium,D:20180706114138,
2-078.pdf,files/www.pcahistory.org_pca_digest_index.html/2-078.pdf,https://www.pcahistory.org/pca/digest/studies/2-078.pdf,https://www.pcahistory.org/pca/digest/index.html,2025-07-12T14:19:18.924244,downloaded,Baptism and Non-Communing Membership,https://www.pcahistory.org/pca/digest/studies/2-078.pdf,Downloaded from https://www.pcahistory.org/pca/digest/index.html,web_scraper_download,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),D:20030822150018-05'00',D:20030822150030-04'00'
2009-07_Urish_v_RockyMountain.pdf,files/www.pcahistory.org_pca_sjc_2005-2014.html/2009-07_Urish_v_RockyMountain.pdf,https://www.pcahistory.org/pca/sjc/cases/2009-07_Urish_v_RockyMountain.pdf,https://www.pcahistory.org/pca/sjc/2005-2014.html,2025-07-12T14:19:19.159621,downloaded,Microsoft Word - 001 TOC & Moderators 2010.doc,https://www.pcahistory.org/pca/sjc/cases/2009-07_Urish_v_RockyMountain.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2005-2014.html,web_scraper_download,PScript5.dll Version 5.2,Acrobat Distiller 8.0.0 (Windows),D:20240507115957-05'00',D:20240507120031-05'00'
46th_pcaga_2018.pdf,files/www.pcahistory.org_pca_ga_index.html/46th_pcaga_2018.pdf,https://www.pcahistory.org/pca/ga/46th_pcaga_2018.pdf,https://www.pcahistory.org/pca/ga/index.html,2025-07-12T14:19:21.493487,downloaded,,https://www.pcahistory.org/pca/ga/46th_pcaga_2018.pdf,Downloaded from https://www.pcahistory.org/pca/ga/index.html,web_scraper_download,Microsoft® Word 2016,Microsoft® Word 2016,D:20181011111752-04'00',D:20181011162806-04'00'
Fox_Stephen_M_1939-2014.pdf,files/www.pcahistory.org_obits_index.html/Fox_Stephen_M_1939-2014.pdf,https://www.pcahistory.org/obits/Fox_Stephen_M_1939-2014.pdf,https://www.pcahistory.org/obits/index.html,2025-07-12T14:19:21.883363,downloaded,,https://www.pcahistory.org/obits/Fox_Stephen_M_1939-2014.pdf,Downloaded from https://www.pcahistory.org/obits/index.html,web_scraper_download,,Adobe Acrobat 9.55 Paper Capture Plug-in,D:20210506185831-05'00',D:20210506185843-05'00'
2015-04_Thompson_v_SouthFlorida.pdf,files/www.pcahistory.org_pca_sjc_2015-2019.html/2015-04_Thompson_v_SouthFlorida.pdf,https://www.pcahistory.org/pca/sjc/cases/2015-04_Thompson_v_SouthFlorida.pdf,https://www.pcahistory.org/pca/sjc/2015-2019.html,2025-07-12T14:19:22.045290,downloaded,,https://www.pcahistory.org/pca/sjc/cases/2015-04_Thompson_v_SouthFlorida.pdf,Downloaded from https://www.pcahistory.org/pca/sjc/2015-2019.html,web_scraper_download,Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0,D:20240507085703-05'00',D:20240507085722-05'00'
Leadership-Development.pdf,files/www.pcaac.org_resources_presbyteries_presbytery-clerks-download-page_/Leadership-Development.pdf,https://www.pcaac.org/wp-content/uploads/2025/01/Leadership-Development.pdf,https://www.pcaac.org/resources/presbyteries/presbytery-clerks-download-page/,2025-07-12T14:19:24.437309,downloaded,Leadership Development,https://www.pcaac.org/wp-content/uploads/2025/01/Leadership-Development.pdf,Downloaded from https://www.pcaac.org/resources/presbyteries/presbytery-clerks-download-page/,web_scraper_download,Keynote,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,D:20241209133234Z,D:20250102103139-05'00'
27th_pcaga_1999.pdf,files/www.pcahistory.org_pca_ga_index.html/27th_pcaga_1999.pdf,https://www.pcahistory.org/pca/ga/27th_pcaga_1999.pdf,https://www.pcahistory.org/pca/ga/index.html,2025-07-12T14:19:44.074591,downloaded,,https://www.pcahistory.org/pca/ga/27th_pcaga_1999.pdf,Downloaded from https://www.pcahistory.org/pca/ga/index.html,web_scraper_download,,ABBYY FineReader 11,D:20140117064802Z,D:20140826165144-04'00'
ch2.pdf,files/www.pcahistory.org_HCLibrary_articles_.._.._rgs_pcus_index.html/ch2.pdf,https://www.pcahistory.org/ebooks/pcus/ch2.pdf,https://www.pcahistory.org/HCLibrary/articles/..\..\rgs\pcus\index.html,2025-07-12T14:19:44.781682,downloaded,"History of the Southern Presbyterian Church, Chapter 2",https://www.pcahistory.org/ebooks/pcus/ch2.pdf,Downloaded from https://www.pcahistory.org/HCLibrary/articles/..\..\rgs\pcus\index.html,web_scraper_download,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),D:20030424155531-05'00',D:20030424155542-04'00'
